file_path,year_folder,file_name,extension,physical_format,file_size_bytes,sheet_name,header_row_1based,physical_data_rows,transaction_rows,continuation_rows,column_count,columns,status_values,marketplace_values,store_count,sample_stores,error
data/CREWDIBLE/2023 Transaksi/Salinan Transaksi 2023.xlsx,2023 Transaksi,Salinan Transaksi 2023.xlsx,.xlsx,xlsx_zip,349822,Sheet1,1,2367,969,1398,35,No | Gudang | Tanggal Transaksi | No. Transaksi | Status | Pengirim | No. HP Pengirim | Nama Toko | Nama Marketplace | Penerima | No. HP Penerima | Alamat Penerima | Nama Produk | No. SKU | Qty Produk | Harga Produk | Total Harga Produk | Total Nilai Transaksi | Biaya Transaksi | PPN Biaya Transaksi | Material Packaging | Harga Material Packaging | Qty Material Packaging | Total Harga Material Packaging | Total Biaya Packaging | PPN Total Biaya Packaging | Total Biaya QC | PPN Total Biaya QC | Total Biaya Shipping Label | PPN Total Biaya Shipping Label | Logistik | Kode Booking | No. AWB | Biaya Logistik | Total Biaya Transaksi,CANCELLED:41; DONE:918; REJECT:10,LAZADA:26; SHOPEE:655,10,BERAS SEHAT STORE; Bandar Organik Store; Bromo Organik; Lembah Organik Store; Medan Organik Store; Merbabu Organik Store; PORICE OFFICIAL STORE; Truly Organik ID; Warung Beras Organik; WellFarm Official Yogya-Jateng,
data/CREWDIBLE/2024 Transaksi/1. Crewdible Transaksi Januari 2024.xls,2024 Transaksi,1. Crewdible Transaksi Januari 2024.xls,.xls,xlsx_zip,454116,Transaction,1,2685,1082,1603,35,No | Gudang | Tanggal Transaksi | No. Transaksi | Status | Pengirim | No. HP Pengirim | Nama Toko | Nama Marketplace | Penerima | No. HP Penerima | Alamat Penerima | Nama Produk | No. SKU | Qty Produk | Harga Produk | Total Harga Produk | Total Nilai Transaksi | Biaya Transaksi | PPN Biaya Transaksi | Material Packaging | Harga Material Packaging | Qty Material Packaging | Total Harga Material Packaging | Total Biaya Packaging | PPN Total Biaya Packaging | Total Biaya QC | PPN Total Biaya QC | Total Biaya Shipping Label | PPN Total Biaya Shipping Label | Logistik | Kode Booking | No. AWB | Biaya Logistik | Total Biaya Transaksi,CANCELLED:23; DONE:1055; REJECT:4,LAZADA:50; SHOPEE:860,12,BERAS SEHAT STORE; Bandar Organik Store; Bandung Diet & Healthy Corner; Bogor Healthy Store; Bromo Organik; Lembah Organik Store; Medan Organik Store; Merbabu Organik Store; PORICE OFFICIAL STORE; Truly Organik ID; Warung Beras Organik; WellFarm Official Yogya-Jateng,
data/CREWDIBLE/2024 Transaksi/10. Crewdible Transaksi Oktober 2024.xls,2024 Transaksi,10. Crewdible Transaksi Oktober 2024.xls,.xls,xlsx_zip,1289990,Transaction,1,7214,2967,4247,35,No | Gudang | Tanggal Transaksi | No. Transaksi | Status | Pengirim | No. HP Pengirim | Nama Toko | Nama Marketplace | Penerima | No. HP Penerima | Alamat Penerima | Nama Produk | No. SKU | Qty Produk | Harga Produk | Total Harga Produk | Total Nilai Transaksi | Biaya Transaksi | PPN Biaya Transaksi | Material Packaging | Harga Material Packaging | Qty Material Packaging | Total Harga Material Packaging | Total Biaya Packaging | PPN Total Biaya Packaging | Total Biaya QC | PPN Total Biaya QC | Total Biaya Shipping Label | PPN Total Biaya Shipping Label | Logistik | Kode Booking | No. AWB | Biaya Logistik | Total Biaya Transaksi,CANCELLED:5; DONE:2951; REJECT:11,LAZADA:276; SHOPEE:2287; TIKTOK:54,23,BERAS SEHAT STORE; Bandar Organik Store; Bandung Diet & Healthy Corner; Beras Sehat Organik; Bogor Healthy Store; Bromo Organik; Lembah Organik Store; Medan Organik Store; Merbabu Organik Store; OWELLNESS ORGANIK SHOP; PORICE OFFICIAL STORE; Pusat Beras Berkualitas,
data/CREWDIBLE/2024 Transaksi/11. Crewdible Transaksi November 2024.xls,2024 Transaksi,11. Crewdible Transaksi November 2024.xls,.xls,xlsx_zip,1642796,Transaction,1,9121,3773,5348,35,No | Gudang | Tanggal Transaksi | No. Transaksi | Status | Pengirim | No. HP Pengirim | Nama Toko | Nama Marketplace | Penerima | No. HP Penerima | Alamat Penerima | Nama Produk | No. SKU | Qty Produk | Harga Produk | Total Harga Produk | Total Nilai Transaksi | Biaya Transaksi | PPN Biaya Transaksi | Material Packaging | Harga Material Packaging | Qty Material Packaging | Total Harga Material Packaging | Total Biaya Packaging | PPN Total Biaya Packaging | Total Biaya QC | PPN Total Biaya QC | Total Biaya Shipping Label | PPN Total Biaya Shipping Label | Logistik | Kode Booking | No. AWB | Biaya Logistik | Total Biaya Transaksi,CANCELLED:1; DONE:3765; REJECT:7,LAZADA:282; SHOPEE:2983; TIKTOK:120,23,BERAS SEHAT STORE; Bandar Organik Store; Bandung Diet & Healthy Corner; Beras Sehat Organik; Bogor Healthy Store; Bromo Organik; Lembah Organik Store; Medan Organik Store; Merbabu Organik Store; OWELLNESS ORGANIK SHOP; PORICE OFFICIAL STORE; Pusat Beras Berkualitas,
data/CREWDIBLE/2024 Transaksi/12. Crewdible Transaksi Desember 2024.xls,2024 Transaksi,12. Crewdible Transaksi Desember 2024.xls,.xls,xlsx_zip,1781013,Transaction,1,9978,4146,5832,35,No | Gudang | Tanggal Transaksi | No. Transaksi | Status | Pengirim | No. HP Pengirim | Nama Toko | Nama Marketplace | Penerima | No. HP Penerima | Alamat Penerima | Nama Produk | No. SKU | Qty Produk | Harga Produk | Total Harga Produk | Total Nilai Transaksi | Biaya Transaksi | PPN Biaya Transaksi | Material Packaging | Harga Material Packaging | Qty Material Packaging | Total Harga Material Packaging | Total Biaya Packaging | PPN Total Biaya Packaging | Total Biaya QC | PPN Total Biaya QC | Total Biaya Shipping Label | PPN Total Biaya Shipping Label | Logistik | Kode Booking | No. AWB | Biaya Logistik | Total Biaya Transaksi,CANCELLED:1; DONE:4136; REJECT:9,LAZADA:325; SHOPEE:3229; TIKTOK:234,23,BERAS SEHAT STORE; Bandar Organik Store; Bandung Diet & Healthy Corner; Beras Sehat Organik; Bogor Healthy Store; Bromo Organik; Lembah Organik Store; Medan Organik Store; Merbabu Organik Store; OWELLNESS ORGANIK SHOP; PORICE OFFICIAL STORE; Pusat Beras Berkualitas,
data/CREWDIBLE/2024 Transaksi/2. Crewdible Tansaksi Februari 2024.xls,2024 Transaksi,2. Crewdible Tansaksi Februari 2024.xls,.xls,xlsx_zip,469100,Transaction,1,2678,1079,1599,35,No | Gudang | Tanggal Transaksi | No. Transaksi | Status | Pengirim | No. HP Pengirim | Nama Toko | Nama Marketplace | Penerima | No. HP Penerima | Alamat Penerima | Nama Produk | No. SKU | Qty Produk | Harga Produk | Total Harga Produk | Total Nilai Transaksi | Biaya Transaksi | PPN Biaya Transaksi | Material Packaging | Harga Material Packaging | Qty Material Packaging | Total Harga Material Packaging | Total Biaya Packaging | PPN Total Biaya Packaging | Total Biaya QC | PPN Total Biaya QC | Total Biaya Shipping Label | PPN Total Biaya Shipping Label | Logistik | Kode Booking | No. AWB | Biaya Logistik | Total Biaya Transaksi,CANCELLED:4; DONE:1075,LAZADA:76; SHOPEE:895,13,BERAS SEHAT STORE; Bandar Organik Store; Bandung Diet & Healthy Corner; Beras Sehat Organik; Bogor Healthy Store; Bromo Organik; Lembah Organik Store; Medan Organik Store; Merbabu Organik Store; PORICE OFFICIAL STORE; Truly Organik ID; Warung Beras Organik,
data/CREWDIBLE/2024 Transaksi/3. Crewdible Transaksi Maret 2024.xls,2024 Transaksi,3. Crewdible Transaksi Maret 2024.xls,.xls,xlsx_zip,502341,Transaction,1,2795,1117,1678,35,No | Gudang | Tanggal Transaksi | No. Transaksi | Status | Pengirim | No. HP Pengirim | Nama Toko | Nama Marketplace | Penerima | No. HP Penerima | Alamat Penerima | Nama Produk | No. SKU | Qty Produk | Harga Produk | Total Harga Produk | Total Nilai Transaksi | Biaya Transaksi | PPN Biaya Transaksi | Material Packaging | Harga Material Packaging | Qty Material Packaging | Total Harga Material Packaging | Total Biaya Packaging | PPN Total Biaya Packaging | Total Biaya QC | PPN Total Biaya QC | Total Biaya Shipping Label | PPN Total Biaya Shipping Label | Logistik | Kode Booking | No. AWB | Biaya Logistik | Total Biaya Transaksi,DONE:1116; REJECT:1,LAZADA:56; SHOPEE:889,13,BERAS SEHAT STORE; Bandar Organik Store; Bandung Diet & Healthy Corner; Beras Sehat Organik; Bogor Healthy Store; Bromo Organik; Lembah Organik Store; Medan Organik Store; Merbabu Organik Store; PORICE OFFICIAL STORE; Truly Organik ID; Warung Beras Organik,
data/CREWDIBLE/2024 Transaksi/4. Crewdible Transaksi April 2024.xls,2024 Transaksi,4. Crewdible Transaksi April 2024.xls,.xls,xlsx_zip,670577,Transaction,1,3772,1487,2285,35,No | Gudang | Tanggal Transaksi | No. Transaksi | Status | Pengirim | No. HP Pengirim | Nama Toko | Nama Marketplace | Penerima | No. HP Penerima | Alamat Penerima | Nama Produk | No. SKU | Qty Produk | Harga Produk | Total Harga Produk | Total Nilai Transaksi | Biaya Transaksi | PPN Biaya Transaksi | Material Packaging | Harga Material Packaging | Qty Material Packaging | Total Harga Material Packaging | Total Biaya Packaging | PPN Total Biaya Packaging | Total Biaya QC | PPN Total Biaya QC | Total Biaya Shipping Label | PPN Total Biaya Shipping Label | Logistik | Kode Booking | No. AWB | Biaya Logistik | Total Biaya Transaksi,CANCELLED:2; DONE:1465; REJECT:20,LAZADA:103; SHOPEE:1089; TIKTOK:7,16,BERAS SEHAT STORE; Bandar Organik Store; Bandung Diet & Healthy Corner; Beras Sehat Organik; Bogor Healthy Store; Bromo Organik; Lembah Organik Store; Medan Organik Store; Merbabu Organik Store; PORICE OFFICIAL STORE; Sumber Organik Shop; Truly Organik ID,
data/CREWDIBLE/2024 Transaksi/5. Crewdible Transaksi Mei 2024.xls,2024 Transaksi,5. Crewdible Transaksi Mei 2024.xls,.xls,xlsx_zip,1084241,Transaction,1,6171,2465,3706,35,No | Gudang | Tanggal Transaksi | No. Transaksi | Status | Pengirim | No. HP Pengirim | Nama Toko | Nama Marketplace | Penerima | No. HP Penerima | Alamat Penerima | Nama Produk | No. SKU | Qty Produk | Harga Produk | Total Harga Produk | Total Nilai Transaksi | Biaya Transaksi | PPN Biaya Transaksi | Material Packaging | Harga Material Packaging | Qty Material Packaging | Total Harga Material Packaging | Total Biaya Packaging | PPN Total Biaya Packaging | Total Biaya QC | PPN Total Biaya QC | Total Biaya Shipping Label | PPN Total Biaya Shipping Label | Logistik | Kode Booking | No. AWB | Biaya Logistik | Total Biaya Transaksi,CANCELLED:4; DONE:2449; REJECT:12,LAZADA:322; SHOPEE:1809; TIKTOK:13,16,BERAS SEHAT STORE; Bandar Organik Store; Bandung Diet & Healthy Corner; Beras Sehat Organik; Bogor Healthy Store; Bromo Organik; Lembah Organik Store; Medan Organik Store; Merbabu Organik Store; PORICE OFFICIAL STORE; Sumber Organik Shop; Truly Organik ID,
data/CREWDIBLE/2024 Transaksi/6. Crewdible Transaksi Juni 2024.xls,2024 Transaksi,6. Crewdible Transaksi Juni 2024.xls,.xls,xlsx_zip,1066931,Transaction,1,5971,2472,3499,35,No | Gudang | Tanggal Transaksi | No. Transaksi | Status | Pengirim | No. HP Pengirim | Nama Toko | Nama Marketplace | Penerima | No. HP Penerima | Alamat Penerima | Nama Produk | No. SKU | Qty Produk | Harga Produk | Total Harga Produk | Total Nilai Transaksi | Biaya Transaksi | PPN Biaya Transaksi | Material Packaging | Harga Material Packaging | Qty Material Packaging | Total Harga Material Packaging | Total Biaya Packaging | PPN Total Biaya Packaging | Total Biaya QC | PPN Total Biaya QC | Total Biaya Shipping Label | PPN Total Biaya Shipping Label | Logistik | Kode Booking | No. AWB | Biaya Logistik | Total Biaya Transaksi,CANCELLED:7; DONE:2453; REJECT:12,LAZADA:247; SHOPEE:1861; TIKTOK:17,18,BERAS SEHAT STORE; Bandar Organik Store; Bandung Diet & Healthy Corner; Beras Sehat Organik; Bogor Healthy Store; Bromo Organik; Lembah Organik Store; Medan Organik Store; Merbabu Organik Store; OWELLNESS ORGANIK SHOP; PORICE OFFICIAL STORE; Sumber Organik Shop,
data/CREWDIBLE/2024 Transaksi/7. Crewdible Transaksi Juli 2024.xls,2024 Transaksi,7. Crewdible Transaksi Juli 2024.xls,.xls,xlsx_zip,1319343,Transaction,1,7339,3052,4287,35,No | Gudang | Tanggal Transaksi | No. Transaksi | Status | Pengirim | No. HP Pengirim | Nama Toko | Nama Marketplace | Penerima | No. HP Penerima | Alamat Penerima | Nama Produk | No. SKU | Qty Produk | Harga Produk | Total Harga Produk | Total Nilai Transaksi | Biaya Transaksi | PPN Biaya Transaksi | Material Packaging | Harga Material Packaging | Qty Material Packaging | Total Harga Material Packaging | Total Biaya Packaging | PPN Total Biaya Packaging | Total Biaya QC | PPN Total Biaya QC | Total Biaya Shipping Label | PPN Total Biaya Shipping Label | Logistik | Kode Booking | No. AWB | Biaya Logistik | Total Biaya Transaksi,CANCELLED:7; DONE:3037; PENDING:1; REJECT:7,LAZADA:387; SHOPEE:2277; TIKTOK:61,19,BERAS SEHAT STORE; Bandar Organik Store; Bandung Diet & Healthy Corner; Beras Sehat Organik; Bogor Healthy Store; Bromo Organik; Lembah Organik Store; Medan Organik Store; Merbabu Organik Store; OWELLNESS ORGANIK SHOP; PORICE OFFICIAL STORE; Solo Organic Corner,
